period,issue_class,recorded_design_decision,verification_surface,source_anchor
2026-04-01 to 2026-04-02,architecture,"Preserve source context in a common measurement schema instead of flattening values into an unauditable table.","Adapter and schema checks plus synthetic examples","Private development ledger at the source revision in SOURCE_PROVENANCE.md"
2026-04-03 to 2026-04-06,evidence threshold,"Separate a literature identifier from row-level kinetic evidence and hold unsupported claims.","Evidence-gate and review-contract tests","Private development ledger at the source revision in SOURCE_PROVENANCE.md"
2026-04-07 to 2026-04-08,recovery,"Revisit historical rows through explicit recovery lanes instead of silently overwriting them.","Recovery ledgers and identity-bound update checks","Private development ledger at the source revision in SOURCE_PROVENANCE.md"
2026-04-09 to 2026-04-15,backlog governance,"Keep active review separate from held and manual follow-up states.","Queue-state and batch-boundary checks","Private development ledger at the source revision in SOURCE_PROVENANCE.md"
2026-04-18 to 2026-04-25,operator trust,"Expose evidence tiers and curation state through an inspection surface.","UI contract checks and record-level traceability views","Private development ledger at the source revision in SOURCE_PROVENANCE.md"
2026-04-27 to 2026-04-29,identity safety,"Harden exact enzyme measurement identity and simplify the collaborator-facing explorer.","Identity and UI regression checks","Private development ledger at the source revision in SOURCE_PROVENANCE.md"
2026-05-01 to 2026-05-06,follow-up workflow,"Split executable cleanup from evidence-limited paper follow-up.","Bounded cleanup and held-state receipts","Private development ledger at the source revision in SOURCE_PROVENANCE.md"
2026-05-07 to 2026-05-11,resource and value safety,"Make scientific safety and writer admission more important than throughput.","Resource admission and kinetic-overwrite checks","Private development ledger at the source revision in SOURCE_PROVENANCE.md"
2026-05-12 to 2026-05-18,progress accounting,"Report source-native coverage separately from localized and curated measurements.","Count and review-state readbacks","Private development ledger at the source revision in SOURCE_PROVENANCE.md"
2026-05-19 to 2026-06-30,scaled recovery,"Scale evidence recovery while serializing writers and preserving source-gap boundaries.","Focused regression tests and writer-state receipts","Private development ledger and Git history at the source revision in SOURCE_PROVENANCE.md"
2026-07-01 to 2026-08-13,strict transactions,"Require current identities, guarded atomic application, same-generation integrity audit, and exact readback.","Transaction receipts, integrity audits, and exact-key readbacks","Private development ledger and Git history at the source revision in SOURCE_PROVENANCE.md"
2026-08-14 to 2026-08-16,versioned engineering,"Bring the reusable implementation under Git and add broad correctness, security, source, and paper-workflow regression coverage.","Versioned tests and independent audit documents","Private Git history at the source revision in SOURCE_PROVENANCE.md"
2026-08-31 to 2026-09-04,publication and portability,"Separate public static export from private runtime state and add clone-local skills plus collaborator mode checks.","Public-export safeguards and clean-clone collaborator checks","Private Git history at the source revision in SOURCE_PROVENANCE.md"
