Connection ID,Family ID,PTM family,Example / subtype,Context group,Disease / context,Link type,Study setting,Reported finding,Limits,Review note,Primary papers,Source URLs,Family resource coverage (August 2026),Resource named in August audit,Coverage scope,Source review date,Selection
DC001,ADJ007,Acetylation,Histone H2B acetylation,Autoimmune / inflammatory,Systemic lupus erythematosus,Disease association,Human samples + experimental models,Acetylated histone H2B was recognized by lupus-associated autoantibodies in patient samples and mouse experiments.,An autoantibody epitope study; it does not establish that acetylation causes lupus.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/19747733/,Active / maintained in August audit,CPLM 4.0,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC002,ADJ080,Citrullination,Citrullination,Autoimmune / inflammatory,Rheumatoid arthritis,Disease association,Human observational + biochemical,Autoantibodies recognized citrullinated tenascin-C in rheumatoid arthritis cohorts and in some samples collected before diagnosis.,Biomarker association and epitope recognition do not establish disease causation.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/26659718/,No qualifying mapping found,HL60 citrullination atlas,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC003,ADJ064,SUMOylation,SUMOylation,Autoimmune / inflammatory,Experimental autoimmunity,Disease association,Animal + cellular models,Preventing NFATc1 SUMOylation reduced disease severity in mouse models of autoimmune encephalomyelitis and graft-versus-host disease.,Experimental mouse models; benefit in patients was not tested.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/32986812/,Active / maintained in August audit,Human SUMO PeptideAtlas/PTMeXchange plus CPLM 4.0,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC004,ADJ033,NMPylation,AMPylation + UMPylation,Bacterial infection / toxins,Bacterial infection research,Host–pathogen study,Biochemical / cellular models,Two bacterial studies describe AMPylation and UMPylation in infection-related biology.,"The studies concern different substrates and organisms. The UMPylation study concerns a bacterial protein, not a host protein; this grouping does not imply a shared disease mechanism.",Scope caveat,2,https://pubmed.ncbi.nlm.nih.gov/20651120/ | https://pubmed.ncbi.nlm.nih.gov/35532216/,No qualifying mapping found,dbPTM 2025 general integrator,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC005,ADJ034,Phosphoaminoalcoholation,Phosphocholination,Bacterial infection / toxins,Bacterial infection research,Host–pathogen study,Biochemical / cellular models,A Legionella study reports phosphocholination in host-cell biology.,"A mechanistic infection study, not a patient association or a validated clinical target.",Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/22158903/,No qualifying mapping found,ProteomeScout current general integrator,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC006,ADJ065,Ubiquitination,Phosphoribosyl-linked ubiquitination,Bacterial infection / toxins,Bacterial infection research,Host–pathogen study,Biochemical / cellular models,A Legionella study examines noncanonical ubiquitin modification during infection.,The phosphoribosyl-linked subtype is distinct from conventional ubiquitination. Family-wide coverage does not establish subtype-specific disease coverage.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/39214970/,Active / maintained in August audit,Human Ubiquitination PeptideAtlas/PTMeXchange plus CPLM 4.0,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC007,ADJ023,ADP-ribosylation,ADP-ribosylation,Bacterial infection / toxins,Bacterial toxin research,Host–pathogen study,Biochemical study,A biochemical study identifies toxin-associated ADP-ribosylation of a host protein.,"Biochemical evidence, not a clinical cohort. The family-level resource status includes organism-limited coverage.",Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/6267047/,Active / maintained in August audit,Plant PTM Viewer 2.0 current plant MAR subset; ADPriboDB 2.0 live aging global,"Family-level qualifying coverage is subtype-, organism-, or evidence-scope limited. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC008,ADJ080,Citrullination,Citrullination,Bacterial infection / toxins,Periodontal infection / autoimmunity research,Host–pathogen study,Biochemical / cellular models,An oral-bacterium study reports citrullination of human proteins relevant to rheumatoid arthritis research.,A proposed link between infection and autoimmunity; this experiment alone does not show that infection causes rheumatoid arthritis.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/20506214/,No qualifying mapping found,HL60 citrullination atlas,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC009,ADJ057,NEDDylation,NEDDylation,Cancer,Non-small cell lung cancer,Disease association,Human samples + experimental models,"UBE2F-associated neddylation was linked to lung-cancer-cell survival, with patient-tissue associations and cell and xenograft experiments.",Patient associations and model experiments are not evidence of clinical treatment efficacy.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/27591266/,Active / maintained in August audit,NEDD8 site atlas PXD022812 plus CPLM 4.0,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC010,ADJ011,Crotonylation,Crotonylation,Cancer,Cervical cancer cell models,Disease association,Cellular models,p300-associated crotonylation and HNRNPA1 expression were linked to proliferation and migration in cervical cancer cells.,Cell-line evidence; no demonstrated patient benefit or family-wide cancer effect.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/33457194/,Active / maintained in August audit,CPLM 4.0,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
